Using GPU 0: NVIDIA GeForce RTX 3090
Epoch 1/500 - Train Loss: 2.0932, Train Accuracy: 0.1775, Test Loss: 2.0500, Test Accuracy: 0.2273
Epoch 2/500 - Train Loss: 1.8957, Train Accuracy: 0.3125, Test Loss: 1.8378, Test Accuracy: 0.3466
Epoch 3/500 - Train Loss: 1.7192, Train Accuracy: 0.4825, Test Loss: 1.6645, Test Accuracy: 0.4891
Epoch 4/500 - Train Loss: 1.5737, Train Accuracy: 0.6075, Test Loss: 1.4956, Test Accuracy: 0.6604
Epoch 5/500 - Train Loss: 1.4601, Train Accuracy: 0.6725, Test Loss: 1.3808, Test Accuracy: 0.7295
Epoch 6/500 - Train Loss: 1.3722, Train Accuracy: 0.7300, Test Loss: 1.2751, Test Accuracy: 0.7780
Epoch 7/500 - Train Loss: 1.2746, Train Accuracy: 0.7625, Test Loss: 1.1750, Test Accuracy: 0.8059
Epoch 8/500 - Train Loss: 1.1529, Train Accuracy: 0.8350, Test Loss: 1.0904, Test Accuracy: 0.8269
Epoch 9/500 - Train Loss: 1.0944, Train Accuracy: 0.8250, Test Loss: 1.0111, Test Accuracy: 0.8540
Epoch 10/500 - Train Loss: 1.0602, Train Accuracy: 0.8000, Test Loss: 0.9516, Test Accuracy: 0.8628
Epoch 11/500 - Train Loss: 0.9929, Train Accuracy: 0.8275, Test Loss: 0.8982, Test Accuracy: 0.8676
Epoch 12/500 - Train Loss: 0.9206, Train Accuracy: 0.8400, Test Loss: 0.8490, Test Accuracy: 0.8763
Epoch 13/500 - Train Loss: 0.8836, Train Accuracy: 0.8400, Test Loss: 0.8075, Test Accuracy: 0.8872
Epoch 14/500 - Train Loss: 0.8480, Train Accuracy: 0.8600, Test Loss: 0.7628, Test Accuracy: 0.8938
Epoch 15/500 - Train Loss: 0.8106, Train Accuracy: 0.8975, Test Loss: 0.7296, Test Accuracy: 0.8990
Epoch 16/500 - Train Loss: 0.8214, Train Accuracy: 0.8675, Test Loss: 0.7004, Test Accuracy: 0.9003
Epoch 17/500 - Train Loss: 0.7247, Train Accuracy: 0.9025, Test Loss: 0.6741, Test Accuracy: 0.9104
Epoch 18/500 - Train Loss: 0.7318, Train Accuracy: 0.9125, Test Loss: 0.6538, Test Accuracy: 0.9126
Epoch 19/500 - Train Loss: 0.7238, Train Accuracy: 0.8775, Test Loss: 0.6377, Test Accuracy: 0.9087
Epoch 20/500 - Train Loss: 0.6655, Train Accuracy: 0.9025, Test Loss: 0.6266, Test Accuracy: 0.9161
Epoch 21/500 - Train Loss: 0.6759, Train Accuracy: 0.9025, Test Loss: 0.6073, Test Accuracy: 0.9244
Epoch 22/500 - Train Loss: 0.6707, Train Accuracy: 0.9100, Test Loss: 0.5896, Test Accuracy: 0.9213
Epoch 23/500 - Train Loss: 0.6006, Train Accuracy: 0.9325, Test Loss: 0.5820, Test Accuracy: 0.9257
Epoch 24/500 - Train Loss: 0.6317, Train Accuracy: 0.9150, Test Loss: 0.5709, Test Accuracy: 0.9266
Epoch 25/500 - Train Loss: 0.6225, Train Accuracy: 0.9050, Test Loss: 0.5626, Test Accuracy: 0.9305
Epoch 26/500 - Train Loss: 0.6239, Train Accuracy: 0.9000, Test Loss: 0.5564, Test Accuracy: 0.9301
Epoch 27/500 - Train Loss: 0.5763, Train Accuracy: 0.9425, Test Loss: 0.5463, Test Accuracy: 0.9283
Epoch 28/500 - Train Loss: 0.5786, Train Accuracy: 0.9350, Test Loss: 0.5419, Test Accuracy: 0.9270
Epoch 29/500 - Train Loss: 0.5689, Train Accuracy: 0.9300, Test Loss: 0.5337, Test Accuracy: 0.9309
Epoch 30/500 - Train Loss: 0.5801, Train Accuracy: 0.9175, Test Loss: 0.5277, Test Accuracy: 0.9379
